instance,n,m,average_uni,average_bi
231,6446,64111,2738.15,122.55
232,2592,25975,1235.3,82.5
233,7213,72221,3928.2,2104.85
234,5555,55548,2741.35,1380.85
235,3802,36999,1848.45,201.0
236,8875,87036,4773.4,284.5
237,5653,55179,2780.35,189.1
238,5628,56182,2297.05,113.2
239,6304,62912,3650.1,1893.05
24,6186,60616,3711.7,262.45
240,3673,36639,2111.55,1044.4
241,7482,74648,3577.85,1844.7
242,7045,69240,3205.65,194.35
243,6893,68729,3615.3,1817.8
244,4349,42779,2262.7,131.25
245,6766,65542,3766.45,74.35
246,1727,17171,818.05,69.7
247,2167,21636,1462.1,86.4
248,5710,56733,2172.2,1098.0
249,6607,66313,3248.05,1660.35
25,5556,55656,2842.6,126.15
250,6991,68924,3818.55,161.5
251,7316,72403,2765.6,87.95
252,1442,14616,661.95,332.85
253,2014,20091,924.85,74.4
254,8346,83636,3393.8,1709.25
255,2575,25164,1458.65,55.25
256,5602,56523,2801.35,137.8
257,2513,24761,702.0,35.15
258,9444,92063,4299.95,60.15
259,8721,86880,5342.65,2788.9
26,6787,67428,3651.75,139.75
260,5082,50722,2668.65,120.05
261,3623,35397,2035.15,171.25
262,8322,83399,3455.6,1750.85
263,5900,57621,2486.05,203.7
264,6490,63747,3357.3,118.1
265,9962,98319,5355.75,296.25
266,1726,16252,1037.3,84.45
267,5372,53188,2259.4,109.8
268,4928,48127,2331.3,75.9
269,1609,15934,915.2,75.4
27,1151,11486,616.15,330.25
270,8219,82715,3889.1,162.8
271,6222,60777,3274.05,88.0
272,789,7498,465.3,78.3
273,1525,15301,770.6,74.35
274,2885,29240,1339.4,97.15
275,6992,68797,2998.85,184.5
276,9163,90143,4918.0,286.85
277,7191,72219,3850.25,1973.9
278,5778,56753,3584.95,306.1
279,7136,71369,2803.6,1418.3
28,9569,93430,4830.55,303.7
280,2795,26752,1696.45,25.8
281,750,7409,423.3,30.7
282,9359,93198,5121.6,167.95
283,545,5415,286.2,149.6
284,2637,26642,1426.6,94.2
285,5976,58406,3269.1,224.45
286,8140,79906,4193.3,65.0
287,5254,51594,2963.45,160.5
288,4506,45035,2470.8,1266.0
289,3445,33590,1510.85,136.1
29,8842,86132,4984.9,281.5
290,783,7707,400.7,227.7
291,8939,89751,4122.6,2107.1
292,2069,20674,888.4,491.3
293,4171,40539,1977.4,174.1
294,5083,49543,2250.35,93.6
295,2850,27792,1329.4,82.0
296,2187,22105,1524.5,817.1
297,6757,67230,2953.6,1525.4
298,7926,79111,4252.2,157.8
299,8464,84702,4114.4,145.85
3,9689,96946,5218.7,198.9
30,9485,95170,4839.85,178.1
300,2851,28810,1498.7,776.0
301,4637,46098,2818.95,144.95
302,5082,49561,2365.45,215.15
303,6611,65866,3685.05,1942.05
304,5226,49816,3383.3,188.9
305,7582,75704,3618.15,1939.45
306,8231,82060,3995.1,2115.1
307,6507,64609,3669.6,99.45
308,1989,19649,901.15,446.9
309,6169,60540,3487.45,275.8
31,8998,89118,4454.05,165.1
310,963,9584,531.6,51.1
311,9581,94549,4337.9,341.4
312,9813,98681,6227.4,3243.65
313,2717,26484,1420.35,143.65
314,5534,53932,2450.6,197.3
315,6274,62711,2926.25,1439.5
316,2309,23129,1025.85,580.95
317,6981,69695,4137.2,2180.85
318,7136,70616,3388.15,172.05
319,8364,82397,4223.35,288.95
32,5455,52645,2823.25,231.25
320,4545,45743,2321.6,126.85
321,7667,74714,3960.05,257.45
322,8992,89067,5482.55,236.15
323,9127,89416,4404.95,278.7
324,1770,17015,890.6,104.6
325,1618,15494,784.8,106.35
326,5768,58053,2884.7,145.85
327,1989,19934,1078.1,75.1
328,5041,50775,2611.0,1392.0
329,2600,25840,1391.1,715.25
33,6275,62520,2969.85,108.75
330,2858,28453,1547.35,789.15
331,9050,88905,4391.9,237.9
332,7697,77267,4246.6,146.65
333,5044,48835,2820.7,15.3
334,9121,89704,4833.25,107.7
335,6033,58977,3102.2,244.05
336,2123,21239,973.6,74.05
337,3347,32400,1685.6,163.75
338,3228,32283,1543.75,838.55
339,7922,78547,3529.3,78.35
34,6706,65324,2562.65,182.0
340,5415,54492,2531.8,121.65
341,4056,40480,1961.35,96.6
342,1115,10677,521.6,79.95
343,7441,73040,3531.45,32.1
344,4700,47161,2835.85,1529.2
